item 1,item 2,item 3,item 4,item 5,item 6,item 7,item 8,item 9,item 10,item 11,item 12,item 13,item 14,item 15,item 16,item 17,item 18,item 19,item 20,item 21,item 22
wine,ham,nachos,tea,croquetas,patè,,,,,,,,,,,,,,,,
water,milk,dough,egg,cheese,dumplings,spinach,croquetas,ham,cucumbers,bacon,,,,,,,,,,,
water,detergent,salsa,gnocchi,,,,,,,,,,,,,,,,,,
orange,plum,salmon,cashew,pistachios,cheese,tomato,shampoo,conditioner,yogurt,salad,,,,,,,,,,,
coke,coconut juice,cereal,potato,yoghurt,cheese,milk,pizza,sausage,turkey,banana,,,,,,,,,,,
coconut juice,cereal,ketchup,potato,quinoa,milk,cheese,ham,avocado,onion,lemon,,,,,,,,,,,
wine,shampoo,milk,cereal,chips,potato,tangerine,cucumber,carrot,pork,pepper,,,,,,,,,,,
sauce,,,,,,,,,,,,,,,,,,,,,
mountain dew,beer,,,,,,,,,,,,,,,,,,,,
fruit mix,mango,,,,,,,,,,,,,,,,,,,,
salad,beer,mushroom,cereal,tangerine,soup,potato,kiwi,avocado,limonate,rice,yogurt,fruit,chicken,seeds,honey,pork,beef,olive oil,chocolate,ham,egg
seeds mix,wine,salmon,water with gas,milka chocolate,pumpkin seeds,,,,,,,,,,,,,,,,
chicken burger,provolone cheese,plastic forks,plastic plates,herb mix,olive oil,plastic glasses,napkins,lime,,,,,,,,,,,,,
black chocolate,spagetti sauce,chicken,tofu,ham,hummus,,,,,,,,,,,,,,,,
potato,pasta,paella,,,,,,,,,,,,,,,,,,,
potato,onion,carrot,,,,,,,,,,,,,,,,,,,
bread,,,,,,,,,,,,,,,,,,,,,
chicken,paella,,,,,,,,,,,,,,,,,,,,
tortilla (wheat),tortilla (corn),,,,,,,,,,,,,,,,,,,,
chicken,mushroom,tortilla,nut,broccoli,bread,,,,,,,,,,,,,,,,
yogurt,bread,ham,pasta,cream,tortilla,cookie,bread,,,,,,,,,,,,,,
paella,chicken,bread,raisins,broccoli,potato,pepper sauce,,,,,,,,,,,,,,,
meat,,,,,,,,,,,,,,,,,,,,,
avocado,egg,cheese,oats,,,,,,,,,,,,,,,,,,
beer,chips,wine,redbull,,,,,,,,,,,,,,,,,,
chips,beer,,,,,,,,,,,,,,,,,,,,
coca-cola,soap,capers,coconut milk,chips,cookies,salmon,turkey breast,fruit cocktail,salad mix,mushrooms,onion,tomato,grapes,bread,chiken breasts,pork,caneloni,,,,
bread,,,,,,,,,,,,,,,,,,,,,
wheat,soap,snacks,,,,,,,,,,,,,,,,,,,
salad,fruit,,,,,,,,,,,,,,,,,,,,
bread,snacks,chicken,cheese,nuts,yogurt,fruit,,,,,,,,,,,,,,,
vegetables,sauce,,,,,,,,,,,,,,,,,,,,
ham,cheese,vegetables,,,,,,,,,,,,,,,,,,,
calcots,sauce,,,,,,,,,,,,,,,,,,,,
snacks,chocolate,,,,,,,,,,,,,,,,,,,,
snacks,,,,,,,,,,,,,,,,,,,,,
chocolate,breakfast,,,,,,,,,,,,,,,,,,,,
other,,,,,,,,,,,,,,,,,,,,,
vegetables,pasta,bread,wine,water,,,,,,,,,,,,,,,,,
other,,,,,,,,,,,,,,,,,,,,,
fruit,fish,,,,,,,,,,,,,,,,,,,,
egg,fruit,ham,meat,juice,other,,,,,,,,,,,,,,,,
chips,potato,plastic weapr,mushroom,snacks,chocolate,other,banana,,,,,,,,,,,,,,
cups,onion,wheat triangles,chocolate,empanada,bread,,,,,,,,,,,,,,,,
chips,olives,red pepper,chocolate,olives,banana,peanuts,,,,,,,,,,,,,,,
cheese,formatge havar,egg,orange,salmon,lemon,,,,,,,,,,,,,,,,
lays artesanas,lays offerta,cocktail al horno,varios,varios,bolsa plastico,,,,,,,,,,,,,,,,
chips,olives,tuna,egg,lasagne,,,,,,,,,,,,,,,,,
hazelnut chocolate,muesli bars,pepper,towel,muffin,shampoo,bath gel,avocado,,,,,,,,,,,,,,
sauce,tofu,cheese,deodorant,,,,,,,,,,,,,,,,,,
bath gel,quiche,grapefruit,,,,,,,,,,,,,,,,,,,
cups,onion,wheat triangles,bread,other,chocolate,egg,other,,,,,,,,,,,,,,
bread,empanada,bread,coke,other,spinach,pork,coke,,,,,,,,,,,,,,
cheese,cheese,potato,chips,other,other,pepper,sweet potato,,,,,,,,,,,,,,
cogollo,caldo,flan,salad,yogurt,pear,apple,paper bag,,,,,,,,,,,,,,
toothpaste,ham,chicken breast,cashew nuts,almond,paper bag,,,,,,,,,,,,,,,,
beer,pineapple,napkins,plastic cups,plastic plates,plastic knife,plastic fork,,,,,,,,,,,,,,,
coke,orange juice,pineapple,apple,grape,lemon,cheese,peach,egg,yogurt,,,,,,,,,,,,
pineapple,fruit juice,olives,nutella,tomato,milk,banana,orange,cucumber,,,,,,,,,,,,,
